iter	Passed	Remaining
402	17383	25751
403	17445	25736
404	17493	25700
405	17537	25658
406	17581	25616
407	17623	25570
408	17666	25528
409	17727	25510
410	17775	25474
411	17817	25429
412	17860	25384
413	17904	25342
414	17946	25298
415	17987	25251
416	18027	25203
417	18066	25154
418	18111	25113
419	18171	25093
420	18216	25052
421	18257	25006
422	18299	24961
423	18343	24919
424	18389	24879
425	18430	24833
426	18472	24788
427	18513	24742
428	18557	24700
429	18602	24659
430	18643	24613
431	18686	24569
432	18726	24521
433	18770	24479
434	18815	24438
435	18855	24391
436	18896	24344
437	18936	24298
438	18978	24252
439	19025	24213
440	19066	24167
441	19105	24119
442	19146	24073
443	19190	24031
444	19232	23985
445	19278	23946
446	19319	23900
447	19358	23852
448	19401	23808
449	19444	23765
450	19489	23724
451	19532	23680
452	19571	23632
453	19612	23586
454	19654	23541
455	19697	23499
456	19738	23453
457	19781	23408
458	19820	23361
459	19862	23316
460	19906	23274
461	19948	23230
462	19991	23186
463	20034	23143
464	20077	23099
465	20120	23056
466	20163	23013
467	20205	22968
468	20245	22922
469	20290	22881
470	20345	22850
471	20404	22824
472	20444	22778
473	20486	22733
474	20533	22695
475	20575	22650
476	20619	22608
477	20659	22561
478	20700	22515
479	20743	22471
480	20807	22451
481	20848	22405
482	20888	22358
483	20929	22313
484	20970	22267
485	21015	22226
486	21054	22178
487	21094	22131
488	21135	22086
489	21179	22044
490	21225	22003
491	21267	21959
492	21311	21916
493	21353	21871
494	21395	21828
495	21439	21785
496	21480	21740
497	21520	21693
498	21562	21648
499	21601	21601
500	21644	21558
501	21683	21510
502	21726	21467
503	21766	21420
504	21806	21374
505	21849	21331
506	21891	21286
507	21932	21242
508	21976	21199
509	22017	21153
510	22060	21110
511	22100	21064
512	22142	21020
513	22184	20976
514	22227	20932
515	22267	20886
516	22307	20840
517	22349	20796
518	22392	20753
519	22434	20708
520	22494	20681
521	22547	20646
522	22606	20618
523	22651	20576
524	22693	20531
525	22739	20491
526	22779	20445
527	22821	20400
528	22864	20357
529	22906	20313
530	22948	20269
