iter	MultiClass
0	1.002511582
1	0.9802024445
2	0.8940122785
3	0.8434170264
4	0.7505618524
5	0.7147166534
6	0.6929770654
7	0.6382359528
8	0.6052750652
9	0.5807204267
10	0.5583461064
11	0.5517681722
12	0.5116304956
13	0.4949752951
14	0.4848823462
15	0.4802712808
16	0.462927574
17	0.4446622226
18	0.433947429
19	0.4221954323
20	0.4113397556
21	0.4062076661
22	0.3925463791
23	0.3814396902
24	0.3622655275
25	0.3494550617
26	0.3234560234
27	0.3122996972
28	0.2982553844
29	0.281086251
30	0.2682150327
31	0.2544336695
32	0.242585903
33	0.2376217699
34	0.2349317933
35	0.2231323273
36	0.2130747071
37	0.2047335183
38	0.1942130788
39	0.1850695304
40	0.178534642
41	0.1770554166
42	0.1726903958
43	0.1698531189
44	0.1642811592
45	0.1630997306
46	0.1623022606
47	0.160977954
48	0.1553486967
49	0.1545925608
50	0.1474291294
51	0.1460044346
52	0.1450109908
53	0.1420031417
54	0.1375533696
55	0.1361675633
56	0.1342523347
57	0.1309577767
58	0.1286088922
59	0.1282439763
60	0.126753777
61	0.1227962421
62	0.1206228028
63	0.1177259319
64	0.1170536356
65	0.1155586231
66	0.1148683347
67	0.113824751
68	0.1102441436
69	0.1085881287
70	0.1078545336
71	0.1070686848
72	0.1063632452
73	0.1031420579
74	0.1008252889
75	0.1006058744
76	0.09971882513
77	0.09766349619
78	0.09643021698
79	0.09606272664
80	0.09562574145
81	0.09348219175
82	0.09176958854
83	0.09105086402
84	0.08879660725
85	0.08789703602
86	0.08675249213
87	0.08656615496
88	0.08547700141
89	0.08498543285
90	0.08404809213
91	0.08339284545
92	0.08265535776
93	0.08062555335
94	0.07966245301
95	0.07909711253
96	0.07882582783
97	0.07753160553
98	0.07744230403
99	0.07675989008
100	0.07509689586
101	0.07446478567
102	0.07331332308
103	0.07289665027
104	0.07254236872
105	0.07199713552
106	0.07194702292
107	0.07086752608
108	0.070520415
109	0.07017054974
110	0.06875118809
111	0.06866950591
112	0.0686053884
113	0.06796080315
114	0.06709460629
115	0.06673351453
116	0.06563486342
117	0.06506342951
118	0.06488251199
119	0.06454064692
120	0.06444788805
121	0.06412960546
122	0.06300040683
123	0.06259673143
124	0.06237553456
125	0.06211984036
126	0.06145213758
127	0.05991845825
128	0.05976248555
129	0.05929341331
130	0.05909459807
131	0.05827907373
132	0.05776119624
133	0.05726989421
134	0.05587774291
135	0.05545643077
136	0.05528978991
137	0.05481383735
138	0.05433472049
139	0.05417125661
140	0.05357508456
141	0.052213073
142	0.05201175632
